1	510
2	510
3	512
4	510
5	506
6	508
7	502
8	506
9	512
10	512
11	512
12	516
13	522
14	516
15	500
16	516
17	524
18	512
19	508
20	542
21	512
22	504
23	526
24	524
25	524
26	518
27	510
28	516
29	526
30	518
31	522
32	522
33	514
34	528
35	516
36	528
37	518
38	516
39	514
40	522
41	518
42	511
43	522
44	508
45	519
46	515
47	516
48	515
49	515
50	512
51	504
52	507
53	504
54	514
55	515
56	521
57	521
58	521
59	513
60	518
61	527
62	530
63	527
64	549
65	541
66	524
67	557
68	557
69	533
70	540
71	559
72	539
73	549
74	571
75	549
76	555
77	557
78	569
79	551
80	557
81	551
82	559
83	559
84	569
85	577
86	541
87	545
88	557
89	543
90	557
91	549
92	539
93	521
94	543
95	517
96	535
97	521
98	523
99	507
100	497
101	507
102	515
103	505
104	493
105	473
106	479
107	475
108	459
109	465
110	467
111	453
112	471
113	457
114	467
115	468
116	471
117	452
118	458
119	452
120	442
121	423
122	431
123	458
124	430
125	428
126	429
127	444
128	438
129	426
130	466
131	474
132	486
133	448
134	492
135	496
136	516
137	528
138	538
139	526
140	548
141	546
142	548
143	566
144	594
145	558
146	616
147	612
148	626
149	610
150	602
151	606
152	590
153	620
154	604
155	598
156	584
157	584
158	614
159	588
160	570
161	556
162	556
163	550
164	546
165	544
166	558
167	544
168	528
169	534
170	527
171	494
172	488
173	493
174	501
175	478
176	469
177	487
178	474
179	448
180	449
181	448
182	438
183	425
184	429
185	433
186	425
187	425
188	430
189	417
190	424
191	419
192	423
193	429
194	430
195	445
196	449
197	453
198	472
199	467
200	473
201	469
202	471
203	475
204	475
205	489
206	509
207	503
208	499
209	513
210	503
211	507
212	509
213	499
214	515
215	505
216	501
217	525
218	513
219	535
220	523
221	537
222	531
223	509
224	525
225	511
226	513
227	499
228	507
229	515
230	525
231	521
232	507
233	509
234	503
235	503
236	505
237	497
238	497
239	503
240	509
241	505
242	503
243	504
244	507
245	508
246	506
247	512
248	510
249	513
250	513
251	512
252	514
253	514
254	515
255	514
256	514
257	514

